epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.8715832233428955,1.9814659357070923,3.939669370651245
0,7,,,,2.1173155307769775,2.1968281269073486,4.85154390335083,,,
1,15,,,,,,,0.7136930227279663,0.8579469919204712,0.7981767654418945
1,15,,,,1.19672691822052,1.3413549661636353,2.095224618911743,,,
2,23,,,,,,,0.6411316394805908,0.8008319139480591,0.687734067440033
2,23,,,,0.7468693852424622,0.9757998585700989,1.030030369758606,,,
3,31,,,,,,,0.5591562390327454,0.7021303176879883,0.5480657815933228
3,31,,,,0.6076354384422302,0.7837033867835999,0.7119355797767639,,,
4,39,,,,,,,0.46175798773765564,0.5687648057937622,0.42095422744750977
4,39,,,,0.5141669511795044,0.6995541453361511,0.5335179567337036,,,
5,47,,,,,,,0.5188361406326294,0.6436060070991516,0.47613725066185
5,47,,,,0.48894086480140686,0.6343127489089966,0.44402310252189636,,,
6,55,,,,,,,0.4877449870109558,0.5889755487442017,0.4218505024909973
6,55,,,,0.4515341520309448,0.5650210976600647,0.35737645626068115,,,
7,63,,,,,,,0.5155977010726929,0.6257767081260681,0.4478188455104828
7,63,,,,0.4275006651878357,0.5270132422447205,0.3117648959159851,,,
8,71,,,,,,,0.4954569339752197,0.5975620150566101,0.42012062668800354
8,71,,,,0.40293118357658386,0.49566957354545593,0.28609979152679443,,,
9,79,,,,,,,0.5124127268791199,0.6189938187599182,0.44199585914611816
9,79,,,,0.3781089186668396,0.491376668214798,0.2701513171195984,,,
10,87,,,,,,,0.47513332962989807,0.5737587213516235,0.3971415162086487
10,87,,,,0.3540571630001068,0.4633660912513733,0.23773689568042755,,,
11,95,,,,,,,0.43018826842308044,0.5199494361877441,0.3541508913040161
11,95,,,,0.3743137717247009,0.4786297678947449,0.24895761907100677,,,
12,103,,,,,,,0.43642109632492065,0.519997239112854,0.3328411877155304
12,103,,,,0.34919559955596924,0.4410451650619507,0.22359724342823029,,,
13,111,,,,,,,0.454922616481781,0.5296878814697266,0.3235619366168976
13,111,,,,0.3227944076061249,0.41717347502708435,0.19440115988254547,,,
14,119,,,,,,,0.43956661224365234,0.5048662424087524,0.2882896661758423
14,119,,,,0.2978220582008362,0.3964633047580719,0.18159110844135284,,,
15,127,,,,,,,0.352214515209198,0.41305965185165405,0.20500080287456512
15,127,,,,0.3102204501628876,0.38255396485328674,0.17319290339946747,,,
16,135,,,,,,,0.3758243918418884,0.4343792796134949,0.21354559063911438
16,135,,,,0.30345186591148376,0.3809179961681366,0.1633719652891159,,,
17,143,,,,,,,0.3310808539390564,0.38549214601516724,0.1652587205171585
17,143,,,,0.2806442975997925,0.3563465178012848,0.14509108662605286,,,
18,151,,,,,,,0.4551662802696228,0.4924771189689636,0.2601979076862335
18,151,,,,0.28867897391319275,0.36839547753334045,0.15058612823486328,,,
19,159,,,,,,,0.294374942779541,0.34692510962486267,0.13294115662574768
19,159,,,,0.3004375398159027,0.3678605258464813,0.14904208481311798,,,
20,160,0.43211641907691956,0.5506978034973145,0.30659788846969604,,,,,,
