epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.218827486038208,2.424988269805908,5.880568504333496
0,0,,,,2.34649395942688,2.428220748901367,5.896256446838379,,,
1,1,,,,,,,2.1907479763031006,2.393528461456299,5.728978633880615
1,1,,,,2.3135323524475098,2.3958380222320557,5.740039348602295,,,
2,2,,,,,,,2.159379243850708,2.3585140705108643,5.562589168548584
2,2,,,,2.278301477432251,2.361325740814209,5.575859069824219,,,
3,3,2.112746000289917,2.24352765083313,5.033415794372559,,,,,,
