epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.2245678901672363,2.4346840381622314,5.92768669128418
0,0,,,,2.366018533706665,2.4467084407806396,5.986382007598877,,,
1,1,,,,,,,2.184582233428955,2.390876054763794,5.716288089752197
1,1,,,,2.3160765171051025,2.398611068725586,5.7533345222473145,,,
2,2,,,,,,,2.138852834701538,2.341118097305298,5.480834484100342
2,2,,,,2.2608401775360107,2.345571994781494,5.501708030700684,,,
3,3,,,,,,,2.0860602855682373,2.2840681076049805,5.216967582702637
3,3,,,,2.1996829509735107,2.285900831222534,5.225342273712158,,,
4,4,,,,,,,2.024693727493286,2.218285083770752,4.920788764953613
4,4,,,,2.1303787231445312,2.217778205871582,4.918540000915527,,,
5,5,1.9186441898345947,2.059248924255371,4.240505695343018,,,,,,
