epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.195160388946533,2.3931639194488525,5.727233409881592
0,0,,,,2.3014185428619385,2.3846235275268555,5.686429500579834,,,
1,1,,,,,,,2.1679017543792725,2.363252639770508,5.584963321685791
1,1,,,,2.2677886486053467,2.352137327194214,5.532549858093262,,,
2,2,,,,,,,2.1361615657806396,2.328672409057617,5.422715187072754
2,2,,,,2.2302329540252686,2.3157637119293213,5.362761497497559,,,
3,3,,,,,,,2.098238468170166,2.2877166271209717,5.23364782333374
3,3,,,,2.187613010406494,2.2735517024993896,5.169037342071533,,,
4,4,,,,,,,2.052018642425537,2.2383339405059814,5.010138511657715
4,4,,,,2.1368916034698486,2.223510503768921,4.943999290466309,,,
5,5,1.9478124380111694,2.085515260696411,4.349374294281006,,,,,,
