epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.927880883216858,2.0437541007995605,4.192584991455078
0,7,,,,2.2396936416625977,2.307520866394043,5.461053371429443,,,
1,15,,,,,,,0.932782769203186,1.0747435092926025,1.1952311992645264
1,15,,,,1.1752575635910034,1.3541101217269897,2.0120604038238525,,,
2,23,,,,,,,0.8762246966362,1.0203096866607666,1.073955774307251
2,23,,,,0.7882852554321289,0.9803450107574463,1.0193970203399658,,,
3,31,,,,,,,0.6171662211418152,0.7809543609619141,0.6683475971221924
3,31,,,,0.6603452563285828,0.8507887721061707,0.7974307537078857,,,
4,39,,,,,,,0.5257202982902527,0.6747335195541382,0.5481634140014648
4,39,,,,0.5098545551300049,0.6630343198776245,0.4704398512840271,,,
5,47,,,,,,,0.6118940711021423,0.7554651498794556,0.6211355924606323
5,47,,,,0.47320932149887085,0.6073839664459229,0.403689980506897,,,
6,55,,,,,,,0.5213354825973511,0.6689227819442749,0.5269126296043396
6,55,,,,0.4216628074645996,0.5117691159248352,0.29406067728996277,,,
7,63,,,,,,,0.5338737368583679,0.6902434229850769,0.5524284243583679
7,63,,,,0.3834531903266907,0.5052956342697144,0.28436121344566345,,,
8,71,,,,,,,0.5719541311264038,0.7248055338859558,0.5923006534576416
8,71,,,,0.3980576694011688,0.49167266488075256,0.2783730626106262,,,
9,79,,,,,,,0.5096296072006226,0.6668516397476196,0.538490891456604
9,79,,,,0.37878483533859253,0.47367748618125916,0.2722592055797577,,,
10,87,,,,,,,0.5558552742004395,0.7112448811531067,0.5817978382110596
10,87,,,,0.37526553869247437,0.4627281129360199,0.23567135632038116,,,
11,95,,,,,,,0.49294334650039673,0.6647859811782837,0.5409336090087891
11,95,,,,0.3448125720024109,0.44334590435028076,0.20852260291576385,,,
12,103,,,,,,,0.525558590888977,0.6962156891822815,0.5679765939712524
12,103,,,,0.3345585763454437,0.42462170124053955,0.19043125212192535,,,
13,111,,,,,,,0.5060889720916748,0.6863905191421509,0.5555016398429871
13,111,,,,0.32966023683547974,0.4152151942253113,0.18359078466892242,,,
14,119,,,,,,,0.4770117700099945,0.6612715721130371,0.538402259349823
14,119,,,,0.33938300609588623,0.4242430627346039,0.19282911717891693,,,
15,127,,,,,,,0.5688945055007935,0.7216273546218872,0.5842512249946594
15,127,,,,0.32851162552833557,0.402595192193985,0.1784489005804062,,,
16,135,,,,,,,0.48088493943214417,0.673336386680603,0.5591300129890442
16,135,,,,0.3101348280906677,0.38494837284088135,0.15739227831363678,,,
17,143,,,,,,,0.5104326009750366,0.6792184710502625,0.5308869481086731
17,143,,,,0.3092331290245056,0.39132410287857056,0.1782071590423584,,,
18,151,,,,,,,0.40282028913497925,0.6274580955505371,0.48913541436195374
18,151,,,,0.2890099287033081,0.35604408383369446,0.13405439257621765,,,
19,159,,,,,,,0.3991874158382416,0.6233824491500854,0.4747869372367859
19,159,,,,0.26130130887031555,0.3244587779045105,0.11776650696992874,,,
20,160,0.39659613370895386,0.506668210029602,0.27659374475479126,,,,,,
