epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.738726258277893,1.843658208847046,3.4141852855682373
0,7,,,,2.0624165534973145,2.1502647399902344,4.66871452331543,,,
1,15,,,,,,,0.6835616827011108,0.8267742395401001,0.7528731822967529
1,15,,,,1.0731271505355835,1.1886121034622192,1.7045009136199951,,,
2,23,,,,,,,0.6611772775650024,0.8246879577636719,0.7309327125549316
2,23,,,,0.6522952318191528,0.8281605839729309,0.7784050703048706,,,
3,31,,,,,,,0.5549968481063843,0.7007399201393127,0.5598863363265991
3,31,,,,0.576789915561676,0.7620300054550171,0.6158707737922668,,,
4,39,,,,,,,0.479990154504776,0.5913900136947632,0.45118623971939087
4,39,,,,0.5015203952789307,0.6511384844779968,0.45507678389549255,,,
5,47,,,,,,,0.5029078722000122,0.6265524625778198,0.4719993472099304
5,47,,,,0.4733813405036926,0.59205561876297,0.3855965733528137,,,
6,55,,,,,,,0.4744666516780853,0.5918902158737183,0.43608927726745605
6,55,,,,0.439969539642334,0.544520378112793,0.3242412209510803,,,
7,63,,,,,,,0.4653785824775696,0.5919954776763916,0.4302913546562195
7,63,,,,0.3914162218570709,0.47338590025901794,0.26352015137672424,,,
8,71,,,,,,,0.4273521304130554,0.5563806891441345,0.39960938692092896
8,71,,,,0.37231478095054626,0.4837403893470764,0.2592434287071228,,,
9,79,,,,,,,0.4182482659816742,0.5357502102851868,0.38425910472869873
9,79,,,,0.34482571482658386,0.4451502859592438,0.23168769478797913,,,
10,87,,,,,,,0.43075647950172424,0.5520064234733582,0.39099279046058655
10,87,,,,0.3285169005393982,0.43096116185188293,0.2039019763469696,,,
11,95,,,,,,,0.3976700007915497,0.5196977853775024,0.3592173159122467
11,95,,,,0.3311464488506317,0.4120676815509796,0.20403794944286346,,,
12,103,,,,,,,0.4531753957271576,0.5763995051383972,0.39600542187690735
12,103,,,,0.3373073935508728,0.4123450219631195,0.1882992684841156,,,
13,111,,,,,,,0.3818584084510803,0.4889353811740875,0.3063102066516876
13,111,,,,0.33416661620140076,0.41389623284339905,0.1804465800523758,,,
14,119,,,,,,,0.35708919167518616,0.46252456307411194,0.28591257333755493
14,119,,,,0.32083234190940857,0.3980466425418854,0.17197023332118988,,,
15,127,,,,,,,0.34371596574783325,0.4424104690551758,0.27325621247291565
15,127,,,,0.30115413665771484,0.3746873736381531,0.15813541412353516,,,
16,135,,,,,,,0.34565457701683044,0.4451276659965515,0.2670697569847107
16,135,,,,0.28889232873916626,0.35782867670059204,0.14869900047779083,,,
17,143,,,,,,,0.3446722626686096,0.4416135847568512,0.2600800096988678
17,143,,,,0.29063427448272705,0.3557989001274109,0.14362195134162903,,,
18,151,,,,,,,0.32022544741630554,0.41858619451522827,0.23692353069782257
18,151,,,,0.31783759593963623,0.39168983697891235,0.16672445833683014,,,
19,159,,,,,,,0.43907299637794495,0.5387855768203735,0.32695135474205017
19,159,,,,0.2887246012687683,0.3552590608596802,0.1428503692150116,,,
20,160,0.41441869735717773,0.5000109672546387,0.2643727660179138,,,,,,
