epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.9196574687957764,2.028794288635254,4.129679203033447
0,7,,,,2.0918798446655273,2.171924352645874,4.7557573318481445,,,
1,15,,,,,,,0.691594123840332,0.8028777837753296,0.6633418798446655
1,15,,,,1.332802176475525,1.4735409021377563,2.2898428440093994,,,
2,23,,,,,,,0.7616541981697083,0.8674091100692749,0.7679296731948853
2,23,,,,0.8195822238922119,0.9564619660377502,1.1021885871887207,,,
3,31,,,,,,,0.6612206697463989,0.7693821787834167,0.6048678159713745
3,31,,,,0.6712859272956848,0.8303813338279724,0.7616835832595825,,,
4,39,,,,,,,0.4564249515533447,0.5416362881660461,0.33360034227371216
4,39,,,,0.4687603712081909,0.6174145340919495,0.41911882162094116,,,
5,47,,,,,,,0.4404531419277191,0.5541812181472778,0.34041061997413635
5,47,,,,0.4913405776023865,0.6198940277099609,0.44262561202049255,,,
6,55,,,,,,,0.548196017742157,0.6706408858299255,0.46845659613609314
6,55,,,,0.46122902631759644,0.5787878632545471,0.3679472804069519,,,
7,63,,,,,,,0.46102389693260193,0.5647211670875549,0.3608127534389496
7,63,,,,0.397962361574173,0.49848803877830505,0.27298054099082947,,,
8,71,,,,,,,0.440789133310318,0.5730011463165283,0.36155247688293457
8,71,,,,0.38758957386016846,0.47938263416290283,0.2676929831504822,,,
9,79,,,,,,,0.4694601893424988,0.6124564409255981,0.3990752696990967
9,79,,,,0.3612304925918579,0.4509159028530121,0.2231471985578537,,,
10,87,,,,,,,0.427013635635376,0.5674664378166199,0.35646137595176697
10,87,,,,0.3552504777908325,0.4457646310329437,0.21991239488124847,,,
11,95,,,,,,,0.4449552595615387,0.5837687253952026,0.3709102272987366
11,95,,,,0.33387306332588196,0.4281054735183716,0.20743179321289062,,,
12,103,,,,,,,0.4376584589481354,0.5785689353942871,0.36693233251571655
12,103,,,,0.3276815116405487,0.42493736743927,0.19751688838005066,,,
13,111,,,,,,,0.44084852933883667,0.5817598104476929,0.36998048424720764
13,111,,,,0.3087346851825714,0.3953422009944916,0.1784670650959015,,,
14,119,,,,,,,0.4448295533657074,0.5949010848999023,0.38193264603614807
14,119,,,,0.3106416165828705,0.37687385082244873,0.15888769924640656,,,
15,127,,,,,,,0.43107175827026367,0.5861372351646423,0.37457582354545593
15,127,,,,0.29795023798942566,0.3734617531299591,0.15345583856105804,,,
16,135,,,,,,,0.4376431107521057,0.5866042375564575,0.3678157329559326
16,135,,,,0.29616278409957886,0.35095468163490295,0.1387387216091156,,,
17,143,,,,,,,0.41894036531448364,0.5620121955871582,0.34355735778808594
17,143,,,,0.28026533126831055,0.35074737668037415,0.13299424946308136,,,
18,151,,,,,,,0.40518251061439514,0.557881772518158,0.33581990003585815
18,151,,,,0.2513924837112427,0.33424660563468933,0.12587673962116241,,,
19,159,,,,,,,0.39033812284469604,0.5491242408752441,0.3233104646205902
19,159,,,,0.26657432317733765,0.33322152495384216,0.11991981416940689,,,
20,160,0.36808982491493225,0.4808104634284973,0.2502031922340393,,,,,,
