epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.8515701293945312,1.9623645544052124,3.8691277503967285
0,7,,,,2.1668126583099365,2.253034830093384,5.135003089904785,,,
1,15,,,,,,,0.7848798632621765,0.9148609042167664,0.8875397443771362
1,15,,,,1.1452631950378418,1.331067681312561,2.0076234340667725,,,
2,23,,,,,,,0.721997082233429,0.8661266565322876,0.7897352576255798
2,23,,,,0.7443640232086182,0.9374008178710938,1.0458035469055176,,,
3,31,,,,,,,0.5685272216796875,0.7118111252784729,0.57147216796875
3,31,,,,0.6277652978897095,0.8188590407371521,0.783004641532898,,,
4,39,,,,,,,0.47509899735450745,0.598906934261322,0.4826003611087799
4,39,,,,0.5791894197463989,0.762158215045929,0.6535747051239014,,,
5,47,,,,,,,0.6456824541091919,0.7974429726600647,0.6884903311729431
5,47,,,,0.535979151725769,0.6952908039093018,0.5392954349517822,,,
6,55,,,,,,,0.502652645111084,0.6243358850479126,0.5222915410995483
6,55,,,,0.5060027837753296,0.6319319605827332,0.4605237543582916,,,
7,63,,,,,,,0.5307930707931519,0.6612794995307922,0.5535866618156433
7,63,,,,0.4670344889163971,0.5716202855110168,0.3738687336444855,,,
8,71,,,,,,,0.5230455994606018,0.6589449048042297,0.5620600581169128
8,71,,,,0.4081694185733795,0.4978815019130707,0.29041460156440735,,,
9,79,,,,,,,0.5736296772956848,0.733264148235321,0.6186200380325317
9,79,,,,0.42696869373321533,0.520313560962677,0.29434841871261597,,,
10,87,,,,,,,0.4943361282348633,0.6326260566711426,0.5229650735855103
10,87,,,,0.3854738771915436,0.47980859875679016,0.2549991011619568,,,
11,95,,,,,,,0.5312314033508301,0.6660619974136353,0.5377410054206848
11,95,,,,0.34991133213043213,0.43981510400772095,0.22539567947387695,,,
12,103,,,,,,,0.4870840907096863,0.6149758100509644,0.487866073846817
12,103,,,,0.35816898941993713,0.45225900411605835,0.23065301775932312,,,
13,111,,,,,,,0.5080512762069702,0.638213038444519,0.49614468216896057
13,111,,,,0.33112892508506775,0.415215402841568,0.20349986851215363,,,
14,119,,,,,,,0.5093207955360413,0.6304854154586792,0.48229989409446716
14,119,,,,0.3417889177799225,0.42127183079719543,0.20494110882282257,,,
15,127,,,,,,,0.4272975027561188,0.5542929768562317,0.4223513603210449
15,127,,,,0.3085235059261322,0.39568406343460083,0.17930452525615692,,,
16,135,,,,,,,0.4474858343601227,0.5638929605484009,0.4156106114387512
16,135,,,,0.29926663637161255,0.3607589304447174,0.16120265424251556,,,
17,143,,,,,,,0.3967741131782532,0.5262501835823059,0.38705992698669434
17,143,,,,0.2920304238796234,0.3636186718940735,0.14917828142642975,,,
18,151,,,,,,,0.4301992356777191,0.5480395555496216,0.3962072730064392
18,151,,,,0.30532974004745483,0.37752076983451843,0.1588001698255539,,,
19,159,,,,,,,0.431758314371109,0.5497387647628784,0.3945234417915344
19,159,,,,0.2953062951564789,0.3643237352371216,0.14397463202476501,,,
20,160,0.4010353982448578,0.5024732351303101,0.2725631296634674,,,,,,
