No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
3823,Ca8_Fe6_Ni2_O24,Ca8Fe6Ni2O24.vasp,NOT,train,Ca8,8.0,Ca,8.0,,,0.0,,0.007,-244.851251,-279.957251,-6.998931275,24.0,1.207045555,0.482671756,0.636766116,0.007786154,-0.793169632,-0.793048869,-4.074541935,-4.07437595,0.006950975,0.006803542,-1.193643429,-1.194460361,0.4827327650206441,0.6365720174877995,1.2069928166562256,0.007048083
656,Sr6_Y2_Nb8_O24,Sr6Y2Nb8O24.vasp,NOT,train,Sr6,8.0,Sr,6.0,Y2,Y,2.0,,0.046,-331.635274,-348.123274,-8.70308185,0.0,0.672183149,1.247183149,1.247183149,0.046021714,-0.759676793,-0.760052675,-2.882403588,-2.881866546,0.043962231,0.043831356,-0.519453388,-0.519090907,1.2471801161745075,1.246962611317613,0.6721753781900099,0.046079654
4167,Ba8_Zr5_Fe1_Cu2_O24,Ba8Zr5Fe1Cu2O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.04,-292.092885,-310.836885,-7.770922125,3.3867,0.619461459,0.203211183,0.427473982,0.038793376,-0.764829537,-0.764957776,-2.995732274,-2.996452398,0.03845022,0.038348495,-0.567647579,-0.567167468,0.2032175087494633,0.4278274033905032,0.6193859390530312,0.0399099638014431
2407,Sr4_Be4_Nb4_V4_O24,Sr4Be4Nb4V4O24.vasp,NOT,train,Sr4,8.0,Sr,4.0,Be4,Be,4.0,,0.859,-308.208655,-331.496655,-8.287416375,8.0,0.531185348,0.789308714,0.789308714,0.8597579775718388,-0.06147992,-0.06169573,-0.140412154,-0.140313304,0.4601401414770258,0.4600633968671688,0.2955219958095448,0.295951614,0.7893421972072092,0.7898526558997511,0.5312403274779234,0.8589459942645201
3485,La8_Sc7_Mg1_O24,La8Sc7Mg1O24.vasp,NOT,train,La8,8.0,La,8.0,,,0.0,,4.068,-340.219669,-356.707669,-8.917691725,0.0029,0.190615277,0.133115277,0.174633042,4.068135943881972,2.694379570934613,2.6943569053915737,1.405606672152263,1.4050978860893673,0.7954453960834065,0.7954316991637169,2.1404329273760982,2.140234289942658,0.1331152733844848,0.1744437089064507,0.1906888629061737,4.067830930209155
3733,Pr8_Mn2_V6_O24,Pr8Mn2V6O24.vasp,NOT,train,Pr8,8.0,Pr,8.0,,,0.0,,0.805,-324.498489,-354.522489,-8.863062225,10.0,0.19130128,0.182502246,0.182502246,0.8042618679055018,-0.10785462,-0.107912142,-0.204567166,-0.204485869,0.4441936114498314,0.4443403149352574,0.2738754865959356,0.2744454670695735,0.1824225386817022,0.1828249769953002,0.1913195872636623,0.8050769530540735
4480,Ba8_Ce2_Hf6_O24,Ba8Ce2Hf6O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,2.242,-337.527271,-354.015271,-8.850381775,0.0,0.075277101,0.075277101,0.218918135,2.241109275103004,1.1262276763273906,1.1264754609085683,0.8118187102774439,0.8113614999203312,0.6866080370921356,0.6864751123125579,1.0636747228519656,1.0634137426148662,0.075218899,0.21915898,0.075283701,2.2421033586368493
3707,La8_Mg2_Ni6_O24,La8Mg2Ni6O24.vasp,NOT,train,La8,8.0,La,8.0,,,0.0,,2.465,-268.006458,-299.740458,-7.49351145,-4.0,1.041047592,0.35150319,0.456733007,2.4653870104030555,1.3177380117586122,1.3172611533961625,0.9062403960206534,0.9053036675475054,0.7061000049626083,0.7060059402336782,1.1849946505670117,1.185486491068094,0.3514342095373173,0.4566578201562214,1.0410342980664402,2.464878544908383
430,Dy2_Y6_Ti8_O24,Dy2Y6Ti8O24.vasp,NOT,train,Dy2,8.0,Dy,2.0,Y6,Y,6.0,,0.014,-357.838854,-374.326854,-9.35817135,8.0,0.575710443,1.035710443,1.035710443,0.013059403,-0.787158097,-0.787635272,-3.729701449,-3.729272025,0.01380526,0.013781418,-0.912564939,-0.913088109,1.0357241985248875,1.0353700379951885,0.5757465296395453,0.0137555893440986
1633,Ba4_Ca4_Sb8_O24,Ba4Ca4Sb8O24.vasp,NOT,train,Ba4,8.0,Ba,4.0,Ca4,Ca,4.0,,0.089,-246.250846,-262.738846,-6.56847115,0.0,0.414149538,0.806696574,0.856344628,0.089107653,-0.722748791,-0.722378324,-2.312635429,-2.312767743,0.08167449,0.081682597,-0.330226264,-0.329263146,0.806716361,0.8557649410983745,0.4140601750747095,0.088981317
3686,Ba8_Y2_Fe6_O24,Ba8Y2Fe6O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.614,-263.619437,-293.643437,-7.341085925,26.0,0.724026299,0.230977466,0.651501904,0.6136283178662338,-0.271883651,-0.2719217,-0.471604911,-0.471588881,0.3791579304182291,0.3790874285013287,0.1808636635852379,0.1816685434358144,0.230995125,0.6513804635103592,0.7240037620346752,0.6139889560478968
