No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
1660,Ba4_La4_V8_O24,Ba4La4V8O24.vasp,NOT,train,Ba4,8.0,Ba,4.0,La4,La,4.0,,0.02,-308.817651,-338.905651,-8.472641275,12.0,0.273061455,0.894601001,0.894601001,0.020366004,-0.782005352,-0.78278849,-3.506557897,-3.506397801,0.01960492,0.019702278,-0.784212962,-0.784544109,0.8946387798236157,0.8944912552422495,0.2730166260297917,0.0199589870867736
2255,Y4_Ba4_Mn6_Fe2_O24,Y4Ba4Mn6Fe2O24.vasp,NOT,train,Y4,8.0,Y,4.0,Ba4,Ba,4.0,,0.021,-296.640865,-327.648865,-8.191221625,30.0,0.522591632,0.315459804,0.433046398,0.021041721,-0.781146561,-0.77995465,-3.473768074,-3.473503328,0.020564853,0.020634244,-0.77338584,-0.77398569,0.3154724966559695,0.4333925081164639,0.5226061960227514,0.02116662
386,Ca2_La6_Co8_O24,Ca2La6Co8O24.vasp,NOT,test,Ca2,8.0,Ca,2.0,La6,La,6.0,,0.039,-277.122561,-306.714561,-7.667864025,10.0015,0.851312731,0.106814359,0.190727619,0.038952063,-0.765688328,-0.766113788,-3.015934981,-3.014883359,0.037525316,0.037423232,-0.577065238,-0.575862736,0.106735437,0.1916110709656991,0.8513128319906539,0.038729202
73,Cs1_Ba7_Cr1_Nb7_O24,Cs1Ba7Cr1Nb7O24.vasp,NOT,valid,Cs1,8.0,Cs,1.0,Ba7,Ba,7.0,,0.179,-318.164672,-336.651672,-8.4162918,4.4668,0.230193104,0.530301764,0.550730879,0.1791951623885701,-0.645457624,-0.645995978,-1.666008264,-1.666569537,0.1516400633642943,0.1515780737272188,-0.160313038,-0.160276617,0.5302691585658881,0.5505230520226126,0.2301951800994427,0.1789256533941067
3532,Pr8_Sc7_Cr1_O24,Pr8Sc7Cr1O24.vasp,NOT,test,Pr8,8.0,Pr,8.0,,,0.0,,3.512,-342.920645,-361.407645,-9.035191125,3.0,0.065294803,0.065294803,0.065294803,3.5113783515624406,2.216891918469325,2.2164790727048627,1.2590290100740142,1.258243752757344,0.7716983608553063,0.7716338708500575,1.6369675368450995,1.6365305933025351,0.065227142,0.06514569,0.065240251,3.5122062342160856
3404,Ba8_Fe7_Nb1_O24,Ba8Fe7Nb1O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.175,-262.866462,-295.146462,-7.37866155,31.0514,0.613872135,0.1899476,0.54590771,0.1745409008555953,-0.648892787,-0.648052515,-1.687399454,-1.687806433,0.1487597543978691,0.1488080454864688,-0.166254561,-0.166957399,0.1898841553919441,0.5458652277353008,0.6138574536333358,0.1749795514584881
4198,Ba8_Co7_Ce1_O24,Ba8Co7Ce1O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.396,-247.027652,-274.981652,-6.8745413,23.3037,1.085665496,0.288518296,0.58823257,0.3963328893323977,-0.459100033,-0.458204563,-0.901402119,-0.900736596,0.2829935470099808,0.2829011181140101,0.043451944,0.043864022,0.2884454143187149,0.5886452864465738,1.0856382476135775,0.3960015462965546
668,Y6_Zn2_Co8_O24,Y6Zn2Co8O24.vasp,NOT,test,Y6,8.0,Y,6.0,Zn2,Zn,2.0,,0.011,-277.121908,-306.713908,-7.6678477,14.0,1.043994053,0.355529912,0.355529912,0.011245516,-0.789734469,-0.789418199,-3.863232841,-3.864106966,0.010879419,0.010805014,-1.017871341,-1.017687119,0.3554753689756618,0.3554169898666993,1.0439795388941002,0.0109912530775382
2187,Ca4_Mg4_Nb6_P2_O24,Ca4Mg4Nb6P2O24.vasp,NOT,train,Ca4,8.0,Ca,4.0,Mg4,Mg,4.0,,0.009,-302.494918,-318.982918,-7.97457295,0.001,0.887029112,1.345960564,1.345572994,0.008276414,-0.79145205,-0.791423038,-3.9633163,-3.963628767,0.00891912,0.008831399,-1.119771912,-1.12028252,1.3459290504025174,1.3450977226469008,0.8869995284572757,0.009043837
4531,La8_Fe2_Zr6_O24,La8Fe2Zr6O24.vasp,NOT,train,La8,8.0,La,8.0,,,0.0,,0.003,-344.163984,-365.163984,-9.1290996,5.8142,0.605006409,0.94903392,0.94903392,0.003575926,-0.796604795,-0.797102457,-4.342805922,-4.342487241,0.002990959,0.003041804,-1.55688331,-1.557062157,0.9490307787746828,0.9498068889081084,0.6050394735936904,0.00316505
1864,Pr4_Sm4_Ti8_O24,Pr4Sm4Ti8O24.vasp,NOT,test,Pr4,8.0,Pr,4.0,Sm4,Sm,4.0,,0.004,-345.170998,-361.658998,-9.04147495,-7.9986,1.511929493,2.625648311,2.625648311,0.004466132,-0.795746004,-0.79478863,-4.268697949,-4.268520978,0.003983944,0.004048819,-1.392651235,-1.392043029,2.625676379973915,2.6255952579407387,1.5119430160490046,0.004073915
3674,Ba8_Mn2_Ni6_O24,Ba8Mn2Ni6O24.vasp,NOT,train,Ba8,8.0,Ba,8.0,,,0.0,,0.022,-223.852815,-258.922815,-6.473070375,20.1753,1.667321497,0.640169967,1.090071585,0.022539685,-0.780287771,-0.780320875,-3.442019376,-3.441647899,0.021522893,0.021679706,-0.761935945,-0.76157129,0.640155984,1.090542301175115,1.6673656808881283,0.021862966
2239,Sr4_Ca4_Fe6_Co2_O24,Sr4Ca4Fe6Co2O24.vasp,NOT,train,Sr4,8.0,Sr,4.0,Ca4,Ca,4.0,,0.049,-249.7957,-283.0957,-7.0773925,28.0044,1.017095609,0.336576077,0.546120394,0.049644094,-0.757100421,-0.757515891,-2.830217835,-2.82994417,0.046694413,0.046601595,-0.502448738,-0.501399846,0.3366228193717969,0.5456815415814482,1.0170991255939106,0.048964416
701,Ba6_La2_Fe7_Co1_O24,Ba6La2Fe7Co1O24.vasp,NOT,train,Ba6,8.0,Ba,6.0,La2,La,2.0,,0.017,-262.999156,-296.917156,-7.4229289,31.0113,0.67957572,0.199480128,0.517996539,0.018290412,-0.784581724,-0.784785351,-3.611918413,-3.612270898,0.016713709,0.0167629,-0.838284131,-0.838106861,0.1994686547499057,0.5181338895407747,0.6795964823568742,0.0168900927621289
4422,Pr8_Ce2_Co6_O24,Pr8Ce2Co6O24.vasp,NOT,test,Pr8,8.0,Pr,8.0,,,0.0,,0.793,-297.651518,-323.967518,-8.09918795,10.0,0.642743802,0.252182347,0.252182347,0.7932759089858058,-0.118160109,-0.117527988,-0.219400565,-0.218992548,0.4405184966077239,0.4404681564231145,0.267241226,0.2669214777092009,0.2522108128842334,0.2519621802877037,0.642821625,0.7930013861887244
4302,Sr8_Ce7_Ni1_O24,Sr8Ce7Ni1O24.vasp,NOT,test,Sr8,8.0,Sr,8.0,,,0.0,,0.064,-294.088158,-313.117158,-7.82792895,0.1174,0.359531928,0.205665153,0.572672167,0.063844933,-0.744218559,-0.744733211,-2.603690186,-2.60470494,0.060122489,0.060141086,-0.421195147,-0.420748454,0.2056049184162684,0.5732899462796883,0.3595908080823042,0.063926836
3641,Y8_Ni7_Cr1_O24,Y8Ni7Cr1O24.vasp,NOT,test,Y8,8.0,Y,8.0,,,0.0,,0.002,-284.067957,-320.341957,-8.008548925,10.0,1.115817169,0.441249746,0.441249746,0.002133968,-0.797463585,-0.798018028,-4.422848629,-4.422399408,0.001995978,0.00215223,-1.776221815,-1.775758724,0.441210255,0.4407732514043119,1.1157553091056327,0.001838377
2387,Sr4_Ba4_Al4_Fe4_O24,Sr4Ba4Al4Fe4O24.vasp,NOT,test,Sr4,8.0,Sr,4.0,Ba4,Ba,4.0,,5.652,-257.077297,-282.589297,-7.064732425,27.9999,0.95589862,0.45357323,0.757540618,5.651932883996484,4.054704106015578,4.054670956714382,1.7337771866897078,1.7347447525303978,0.8412033349190984,0.8411507714657313,3.221372660788942,3.222337504,0.4536199238728789,0.7573488438341113,0.9558056207184376,5.652138432181814
3401,Ba8_Fe7_Ir1_O24,Ba8Fe7Ir1O24.vasp,NOT,test,Ba8,8.0,Ba,8.0,,,0.0,,0.23,-255.320543,-287.600543,-7.190013575,30.9507,0.713736347,0.10030459,0.526826541,0.2306935057479823,-0.601659296,-0.601940336,-1.427116356,-1.427545611,0.1867098339693435,0.1867359044258298,-0.093675683,-0.094256409,0.1002752677257198,0.527694117,0.7136967959858836,0.2300511991873932
3593,Sr8_V7_Co1_O24,Sr8V7Co1O24.vasp,NOT,test,Sr8,8.0,Sr,8.0,,,0.0,,0.923,-285.762135,-315.788135,-7.894703375,-2.0,0.245311124,0.39985201,0.386619486,0.9222744106156574,-0.006517312,-0.007031556,-0.069350078,-0.069227834,0.4778715297161822,0.4778733194402044,0.3268510237585774,0.3261668739301889,0.3998692474793821,0.3869887094808857,0.245229607,0.9231609091795778
398,Ca2_La6_Zr8_O24,Ca2La6Zr8O24.vasp,NOT,train,Ca2,8.0,Ca,2.0,La6,La,6.0,,0.355,-348.287101,-364.775101,-9.119377525,0.0,0.782529605,1.127529605,1.139854906,0.3555712548016514,-0.494310454,-0.494255803,-1.007857925,-1.00761867,0.2614226323385006,0.2613987421280463,0.019988267,0.020639686,1.127476172934219,1.139941210739653,0.7825970616323293,0.3549024834936992
