epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.7627265453338623,1.8710622787475586,3.516509532928467
0,7,,,,2.1644065380096436,2.2416396141052246,5.112863063812256,,,
1,15,,,,,,,0.7178844809532166,0.8340578079223633,0.7369235157966614
1,15,,,,1.063687801361084,1.2279675006866455,1.6663535833358765,,,
2,23,,,,,,,0.6488826870918274,0.7973721623420715,0.6735153794288635
2,23,,,,0.6081463098526001,0.7849574685096741,0.7051675319671631,,,
3,31,,,,,,,0.5559559464454651,0.6890389919281006,0.5265278816223145
3,31,,,,0.5528132319450378,0.7330501675605774,0.5626933574676514,,,
4,39,,,,,,,0.4708968997001648,0.5668396949768066,0.4143160283565521
4,39,,,,0.4707566797733307,0.602371335029602,0.4125032126903534,,,
5,47,,,,,,,0.523110568523407,0.6450873017311096,0.4761052131652832
5,47,,,,0.4576065242290497,0.5693767070770264,0.35761862993240356,,,
6,55,,,,,,,0.5239022970199585,0.6540077328681946,0.4852592349052429
6,55,,,,0.4372790455818176,0.5346011519432068,0.31735339760780334,,,
7,63,,,,,,,0.43667155504226685,0.5581290125846863,0.40645989775657654
7,63,,,,0.40779006481170654,0.5107294321060181,0.286042720079422,,,
8,71,,,,,,,0.4925674796104431,0.6243398785591125,0.45341768860816956
8,71,,,,0.3742033839225769,0.48708781599998474,0.26075735688209534,,,
9,79,,,,,,,0.4254423677921295,0.5358456373214722,0.3823288679122925
9,79,,,,0.39193621277809143,0.48830562829971313,0.2632295489311218,,,
10,87,,,,,,,0.460649311542511,0.5722095370292664,0.3999519944190979
10,87,,,,0.35246384143829346,0.4575209319591522,0.23239506781101227,,,
11,95,,,,,,,0.4416913092136383,0.5484854578971863,0.37311631441116333
11,95,,,,0.34227126836776733,0.43780219554901123,0.210720032453537,,,
12,103,,,,,,,0.3792351186275482,0.4825758934020996,0.31853246688842773
12,103,,,,0.32767555117607117,0.41212478280067444,0.19254493713378906,,,
13,111,,,,,,,0.6275336742401123,0.7151265740394592,0.5341092348098755
13,111,,,,0.37862807512283325,0.4545314908027649,0.24111633002758026,,,
14,119,,,,,,,0.35179123282432556,0.46387892961502075,0.29913419485092163
14,119,,,,0.4048194885253906,0.4753185510635376,0.23657894134521484,,,
15,127,,,,,,,0.41521134972572327,0.5087413787841797,0.3139268159866333
15,127,,,,0.32957276701927185,0.40171870589256287,0.18193869292736053,,,
16,135,,,,,,,0.31866490840911865,0.42974433302879333,0.25274917483329773
16,135,,,,0.2909248173236847,0.3695482909679413,0.152096226811409,,,
17,143,,,,,,,0.31974950432777405,0.4311491847038269,0.2445518970489502
17,143,,,,0.28030040860176086,0.346219003200531,0.138758584856987,,,
18,151,,,,,,,0.301875501871109,0.4140259623527527,0.23788635432720184
18,151,,,,0.2601340115070343,0.32712188363075256,0.13146014511585236,,,
19,159,,,,,,,0.3480544984340668,0.4550897479057312,0.2541986107826233
19,159,,,,0.25937017798423767,0.3296694755554199,0.12072484940290451,,,
20,160,0.401315301656723,0.4658195972442627,0.22531326115131378,,,,,,
