epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,7,,,,,,,1.7685140371322632,1.8711742162704468,3.5141377449035645
0,7,,,,2.0472512245178223,2.1194605827331543,4.57274055480957,,,
1,15,,,,,,,0.6875187754631042,0.8416150808334351,0.7906976342201233
1,15,,,,1.1350939273834229,1.2538360357284546,1.829359531402588,,,
2,23,,,,,,,0.6769546270370483,0.8467515110969543,0.7847532033920288
2,23,,,,0.6340135335922241,0.8266151547431946,0.7581735849380493,,,
3,31,,,,,,,0.6367141604423523,0.80211341381073,0.7238819003105164
3,31,,,,0.5719570517539978,0.733444333076477,0.5894851088523865,,,
4,39,,,,,,,0.5194514989852905,0.6540571451187134,0.5998548269271851
4,39,,,,0.48836326599121094,0.6107314825057983,0.4149313271045685,,,
5,47,,,,,,,0.5461059808731079,0.6967934370040894,0.6299684047698975
5,47,,,,0.47238385677337646,0.5846234560012817,0.37660154700279236,,,
6,55,,,,,,,0.5899470448493958,0.7586233019828796,0.6896259784698486
6,55,,,,0.45944371819496155,0.5477905869483948,0.3371553122997284,,,
7,63,,,,,,,0.4820944666862488,0.6480585336685181,0.6127125024795532
7,63,,,,0.3937252461910248,0.49696680903434753,0.27770569920539856,,,
8,71,,,,,,,0.5601536631584167,0.7347686290740967,0.663079559803009
8,71,,,,0.39635732769966125,0.49014535546302795,0.29751041531562805,,,
9,79,,,,,,,0.4981357157230377,0.6597713232040405,0.6033169031143188
9,79,,,,0.3779100775718689,0.46939387917518616,0.26366549730300903,,,
10,87,,,,,,,0.5174103379249573,0.6723294258117676,0.6028555035591125
10,87,,,,0.3666251003742218,0.47596219182014465,0.26151537895202637,,,
11,95,,,,,,,0.529593288898468,0.6794599294662476,0.600434422492981
11,95,,,,0.3676281273365021,0.4741310775279999,0.24390043318271637,,,
12,103,,,,,,,0.4877229332923889,0.6299582123756409,0.5621348023414612
12,103,,,,0.34627267718315125,0.44887271523475647,0.22213001549243927,,,
13,111,,,,,,,0.610802173614502,0.7563163042068481,0.6598930954933167
13,111,,,,0.3480490744113922,0.4519539177417755,0.23084746301174164,,,
14,119,,,,,,,0.4764028489589691,0.6261030435562134,0.537360668182373
14,119,,,,0.3844228684902191,0.479998916387558,0.2531009018421173,,,
15,127,,,,,,,0.48044291138648987,0.6280150413513184,0.528197169303894
15,127,,,,0.33242934942245483,0.413486510515213,0.1947290599346161,,,
16,135,,,,,,,0.5158582925796509,0.6524940729141235,0.536487877368927
16,135,,,,0.31050682067871094,0.3982293903827667,0.17865368723869324,,,
17,143,,,,,,,0.4488391876220703,0.5989329814910889,0.48935776948928833
17,143,,,,0.33894282579421997,0.4069821238517761,0.18754853308200836,,,
18,151,,,,,,,0.45633262395858765,0.6061569452285767,0.48181015253067017
18,151,,,,0.3069838285446167,0.3872694969177246,0.16488821804523468,,,
19,159,,,,,,,0.5077658891677856,0.6473311185836792,0.5032508373260498
19,159,,,,0.29603180289268494,0.38257133960723877,0.1600097268819809,,,
20,160,0.47591152787208557,0.5798256993293762,0.34908193349838257,,,,,,
