epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,0,,,,,,,2.2092394828796387,2.408263683319092,5.799733638763428
0,0,,,,2.3275840282440186,2.4107608795166016,5.811768531799316,,,
1,1,,,,,,,2.1796000003814697,2.3739781379699707,5.635771751403809
1,1,,,,2.2857210636138916,2.370119094848633,5.617465019226074,,,
2,2,,,,,,,2.147308588027954,2.33664870262146,5.459927558898926
2,2,,,,2.244377374649048,2.33003830909729,5.429078102111816,,,
3,3,,,,,,,2.10986065864563,2.2937662601470947,5.261363506317139
3,3,,,,2.2006850242614746,2.2865021228790283,5.228092193603516,,,
4,4,,,,,,,2.065033435821533,2.2430474758148193,5.031262397766113
4,4,,,,2.1505298614501953,2.23640775680542,5.001519680023193,,,
5,5,1.9700285196304321,2.102367639541626,4.419949531555176,,,,,,
